"Last  4809","JAIN SLEE 1.0 API Javadoc Assertions",,,,,,"T?: 0","High:174","1376 (ex methods)",22,168,354,24,24,318,,449,0,0,3
4457,,,"2 ","Pfd3","Assertion",,,"High","Note: A profile identifier for the profile table's default profile will not be included in the collection iterated over by this method's return value as the default profile has no such identifier.",,,"Test4457Test",,,"Call getProfiles() and make sure the returned set is the size of the created profiles.  I.e. Create a single profile and ensure the set has only one profile in it..","Cath","Complete",,,
4449,,,"3","Pfd3","Impossible",,,,"This method is a required transactional method.",,"Untestable - does not modify state.",,,,,,,,,
4462,,,"4","Pfd3","Context",,,,"Param - profileTableName - the name of the profile table.",,,,,,,,,,,
4450,,,"5","Pfd3","Repeat",4448,,,"Returns a read-only Collection of ProfileID objects identifying the profiles contained in the specified profile table.",,,,,,,,,,,
4451,,,"5","Pfd3","Assertion",,,"High","The element type of the iterator is ProfileID. ",,"Use instanceof, or catch a ClassCastException while iterating.","facilities/profilefacility/ProfileFacilityTest-getProfilesIterator",,,"Iterate through an iterator returned by getProfiles(), cast each element to a ProfileID.  Check that no ClassCastException is received.","Nick","Complete",,,
4452,,,"5","Pfd3","Assertion",,,"High","The iterator will not support the Iterator.remove() operation.",,"Invoke remove() on the Iterator. Check that an UnsupportedOperationException is thrown, and that the profile has not been removed.","facilities/profilefacility/ProfileFacilityTest-exception",,,"Attempt to invoke remove() on the iterator.  Check that an upsupporteed operation exception is thrown.  Use the sbb's get profile cmp method to verify that the profile wasn't removed.","Nick","Complete",,,
4453,,,"6.1","Pfd3","Assertion",,,"High","throws NullPointerException if profileTableName is null",,,"facilities/profilefacility/ProfileFacilityTest-exception",,,"Invoke getProfiles() with a null profile table name.  Check that a NullPointerException is thrown","Nick","Complete",,,
4454,,,"6.2","Pfd3","Assertion",,,"High","throws UnrecognizedProfileTableNameException if a profile table with the specified  name does not exist.",,,"facilities/profilefacility/ProfileFacilityTest-exception",,,"Invoke getProfiles() with a non-existant table name. Check that an UnrecognizedTableNameException is thrown","Nick","Complete",,,
4455,,,"6.3","Pfd3","Impossible",,,,"Throws TransactionRolledbackLocalException if this method was invoked without a valid transaction context and the transaction started by this method failed to commit.",,"We never have a guaranteed 'non-transactional' context to test from, and have no means to force a roll back even if we detect no transaction.",,,,,,,,,
4456,,,"6.4","Pfd3","Impossible",,,,"throws FacilityException if the iterator could not be obtained due to a system-level failure.",,,,,,,,,,,
4290,"javax.slee.profile.ProfileFacility","getProfilesByIndexedAttribute",,"Pfd2","Method","4458,4292,4293,4294,4295,4299",,,,,,,,,,,,,,
4291,,,"1","Pfd2","Context",,,,"Get a Collection of ProfileID objects that identify the profiles contained in the specified profile table where the specified profile attribute is set to the specified value.  The collection returned is immutable.  Any attempt to modify it, either directly or indirectly, will result in a java.lang.UnsupportedOperationException being thrown.",,,,,,,,,,,
4458,,,"2 ","Pfd2","Covered","1650",,,"Note: The profile table's default profile is not considered when determining matching profiles as it has no profile identifier that can be included in the collection iterated over by this method's return value.",,"Assertion 1650 tests that the returned set of matching Profiles has size of 1 - so 4458 is covered by that test.",,,,,,,,,
4292,,,"3","Pfd2","Impossible",,,,"This method is a required transactional method.",,"Untestable - does not modify state.",,,,,,,,,
4293,,,"5","Pfd2","Covered",1384,,,"Returns a read-only Collection of ProfileID objects identifying the profiles contained in the specified profile table, where the specified attribute of each profile equals the specified value.",,,,,,,,,,,
4294,,,"5","Pfd2","Assertion",,,"High","The element type of the iterator is ProfileID.",,,"Test1384Test",,,"Verify that the items in the iterator are instances of ProfileID.","Cath","Complete",,,
4295,,,"5","Pfd2","Repeat","1394",,,"The iterator will not support the Iterator,remove() operation.",,,,,,,,,,,
4296,,,"6.1","Pfd2","Assertion",,,"Low","java.lang.NullPointerException - if any argument is null.",,,,,,,,,,,
4297,,,"6.2","Pfd2","Assertion",,,"Low","UnrecognizedProfileTableNameException - if a profile table with the specified name does not exist.",,,,,,,,,,,
4298,,,"6.3","Pfd2","Assertion",,,"Low","UnrecognizedAttributeException - if an attribute with the specified name is not defined in the profile specification for the specified profile table.",,,,,,,,,,,
4299,,,"6.4","Pfd2","Covered","1392",,,"AttributeNotIndexedException - if the specified attribute is not indexed in the profile specification for the specified profile table.",,"Covered by ProfileFacilityTest - repeat of 1392",,,,,,,,,
4300,,,"6.5","Pfd2","Removed",,,,"InvalidArgumentException - if the type of the supplied attribute value does not match the type of the specified indexed attribute.",,,,,,,,,,,
4602,,,,,"Assertion",,,"Low","AttributeTypeMismatchException - if the type of the supplied attribute value does not match the type of the specified indexed attribute.",,,,,,,,,,,
4301,,,"6.6","Pfd2","Impossible",,,,"TransactionRolledBackLocalException - if this method was invoked without a valid transaction context and the transaction started by this method failed to commit.",,"We never have a guaranteed 'non-transactional' context to test from, and have no means to force a roll back even if we detect no transaction.",,,,,,,,,
4302,,,"6.7","Pfd2","Impossible",,,,"FacilityException - if the iterator could not be obtained due to a system-level failure.",,,,,,,,,,,
4303,"javax.slee.profile.ProfileFacility","getProfileByIndexedAttribute",,"Pfd2","Method","4459,4304,4305",,,,,,,,,,,,,,
4459,,,"2 ","Pfd2","Assertion",,,"High","Note: The profile table's default profile is not considered when determining matching profiles as it has no profile identifier that can be returned by this method.",,,"Test4459Test",,,"Create profile, modify profile so that 'int' attribute is not at the default value.  Call getProfileByIndexedAttribute(int, 42), and verify that returned ProfileID has the correct profile name.","Cath","Complete",,,
4304,,,"3","Pfd2","Impossible",,,,"This method is a required transactional method.",,"Doesn't modify state.  Untestable.",,,,,,,,,
4305,,,"5","Pfd2","Covered","1383, 1386",,,"Returns the profile identifier for the first matching profile, or null if not matching profile was found.",,,,,,,,,,,
4306,,,"6.1","Pfd2","Assertion",,,"Low","java.lang.NullPointerException - if any attribute is null.",,,,,,,,,,,
4307,,,"6.2","Pfd2","Assertion",,,"Low","UnrecognizedProfileTableNameException - if a profile table with the specified name does not exist.",,,,,,,,,,,
4308,,,"6.3","Pfd2","Assertion",,,"Low","UnrecognizedAttributeException - if the specified attribute is not indexed in the profile specification for the specified profile table.",,,,,,,,,,,
4309,,,"6.4","Pfd2","Removed",,,,"InvalidArgumentException - if the type of the supplied attribute value does not match the type of the specified indexed attribute.",,,,,,,,,,,
4603,,,,,"Assertion",,,"Low","AttributeTypeMismatchException - if the type of the supplied attribute value does not match the type of the specified indexed attribute.",,,,,,,,,,,
4310,,,"6.5","Pfd2","Impossible",,,,"TransactionRolledBackLocalException - if this method was invoked without a valid transaction context and the transaction started by this method failed to commit.",,"We never have a guaranteed 'non-transactional' context to test from, and have no means to force a roll back even if we detect no transaction.",,,,,,,,,
4311,,,"6.6","Pfd2","Impossible",,,,"FacilityException - if the profile identifier could not be obtained due to a system-level failure.",,,,,,,,,,,
4312,"javax.slee.profile.ProfileFacility","getProfileTableActivity",,"Pfd2","Method","4313,4314",,,,,,,,,,,,,,
4313,,,"2 ","Pfd2","Impossible",,,,"This method is a required transactional method.",,"Untestable - doesn't modify state.",,,,,,,,,
4314,,,"4","Pfd2","Repeat",1397,,,"Returns a ProfileTableActivity object for the profile table.",,,,,,,,,,,
4315,,,"5.1","Pfd2","Assertion",,,"Low","java.lang.NullPointerException - if profileTableName is null.",,,,,,,,,,,
4316,,,"5.2","Pfd2","Assertion",,,"Low","UnrecognizedProfileTableNameException - if a profile table with the specified name does not exist.",,,,,,,,,,,
4317,,,"5.3","Pfd2","Impossible",,,,"TransactionRolledBackLocalException - if this method was invoked without a valid transaction context and the transaction started by this method failed to commit.",,"We never have a guaranteed 'non-transactional' context to test from, and have no means to force a roll back even if we detect no transaction.",,,,,,,,,
4318,,,"5.4","Pfd2","Impossible",,,,"FacilityException - if the activity could not be obtained due to a system-level failure.",,,,,,,,,,,
4319,"javax.slee.profile.ProfileFacility","getProfileActivity",,"Pfd2","Removed",,,,,,,,,,,,,,,
4320,,,"2 ","Pfd2","Removed",,,,"This method is a required transactional method.",,"Untestable - doesn't modify state.",,,,,,,,,
4321,,,"4","Pfd2","Removed",,,,"Returns a ProfileActivity object for the profile.",,,,,,,,,,,
4322,,,"5.1","Pfd2","Removed",,,,"java.lang.NullPointerException - if profileID is null.",,,,,,,,,,,
4323,,,"5.2","Pfd2","Removed",,,,"UnrecognizedProfileTableNameException - if a profile table with the specified name does not exist.",,,,,,,,,,,
4324,,,"5.3","Pfd2","Removed",,,,"UnrecognizedProfileNameException - if a profile with the name given in the profile identifier does not exist within the profile table.",,,,,,,,,,,
4325,,,"5.4","Pfd2","Removed",,,,"TransactionRolledBackLocalException - if this method was invoked without a valid transaction context and the transaction started by this method failed to commit.",,"We never have a guaranteed 'non-transactional' context to test from, and have no means to force a roll back even if we detect no transaction.",,,,,,,,,
4326,,,"5.5","Pfd2","Removed",,,,"FacilityException - if the activity could not be obtained due to a system-level failure.",,,,,,,,,,,
4327,"javax.slee.profile.ProfileManagement",,"1","Pfd2","Ap Req",,,"Low","This interface must be implemented by a Profile Management Abstract Class if a profile specification includes such a class.",,,,,,,,,,,
4328,"javax.slee.profile.ProfileManagement","profileInitialize",,"Pfd2","Method","4329,4330,4331,4332,4333",,,,,,,,,,,,,,
4329,,,"1","Pfd2","Covered","924",,,"The SLEE invokes this operation once the persistence representation for the profile has been created.",,,,,,,,,,,
4330,,,"1","Pfd2","Assertion",,,"High","The profile may initialize its transient or CMP fields during this method.",,,"CheckInitializeProfileTest",,,"In profileInitialize set the value of a CMP field and the value of a transient field.  In profileStore save the value of the transient field to a CMP field so it can be retrieved later.  After the profile table is created check that both CMP fields are correctly initialized","Nick","Complete",,,
4331,,,"1","Pfd2","Covered","924, 926",,,"This method is only invoked once for each profile table that is created, and provides the initial values for the profile table's default profile.",,"That the method is invoked only once is demonstrated by the fact that new profiles take their initial state from the default profile, not from profileInitialize and that each profile table has its own default profile",,,,,,,,,
4332,,,"2 ","Pfd2","Covered","4330",,,"This method is invoked with an active transaction context.",,"By updating the CMP field we prove that the method has an active tx context",,,,,,,,,
4333,,,"2 ","Pfd2","Assertion",,,"High","The SLEE follows a call to this method with a call to profileStore() and profileVerify() in the same transaction.",,"Test that state changes made by each method are visible to the next method.  By throwing an exceptionprofileVerify to signal to the test that the correct values were not seen in profileVerify.","Test4333Test",,,"In profileInitialize set the value of a CMP field to a valid value.  In profileStore copy this to a second CMP field.  In profileVerify throw a verification exception unless the value of both CMP fields is correct.  Check that the profile can be created without errors.","Nick","Complete",,,
4334,"javax.slee.profile.ProfileManagement","profileLoad",,"Pfd2","Method","4337",,,,,,,,,,,,,,
4335,,,"1","Pfd2","Covered","4337",,,"The SLEE invokes this method on a profile when the state of the profile object needs to be synchronized with the state in the underlying data source.",,"This is actually covered by 4337 - it sets a field in profileLoad() and checks that it has been set after profileLoad() returns.  Can't return test pass directly from profileLoad() - Transaction stuff gets tied in a knot - so the only way to test is by setting ProfileCMP value in profileLoad() and verifying it's there afterwards.",,,,,,,,,
4336,,,"1","Pfd2","Ap Recom",,,,"The profile object should reload from CMP fields any transient state that depends on the state stored in those CMP fields.",,,,,,,,,,,
4337,,,"2 ","Pfd2","Assertion",,,"High","This method is invoked with an active transaction context.",,"Test for an active transaction context by updating a CMP field, which requires an active transaction context","CheckProfileLoadTest",,,"Implement a profileLoad method in the profile management abstract class that updates a CMP field.  Create a profile from the profile spec and force creation of a transactional context by invoking editProfile.  The SLEE will invoke profileLoad.  Check that the CMP field was successfully updated","Nick","Complete",,,
4338,"javax.slee.profile.ProfileManagement","profileStore",,"Pfd2","Method","4339,4341",,,,,,,,,,,,,,
4339,,,"1","Pfd2","Covered","1024",,,"The SLEE invokes this operation when the state of the underlying data source needs to be sychronised with the state of the profile.",,,,,,,,,,,
4340,,,"1","Pfd2","Ap Recom",,,,"The profile object should store into CMP fields any transient state that depends on the state stored in those CMP fields.",,,,,,,,,,,
4341,,,"2 ","Pfd2","Covered","1018, 1024",,,"This method is invoked with an active transaction context.",,"The CheckProfileStoreTest test updates CMP fields from profileStore, which requires an active transaction context",,,,,,,,,
4342,"javax.slee.profile.ProfileManagement","profileVerify",,"Pfd2","Method","4343",,,,,,,,,,,"Complete",,,
4343,,,,"Pfd2","Assertion",,,"High","The SLEE invokes this operation in response to a request by the Administrator to commit any changes made to the profile.",,,"ProfileVerificationTest",,,"Implement a verifyProfile() method that will set a flag in an instance field when invoked.  Make changes to a profile and nvoke the MBean's commitProfile() method.  Check the status of the flag after commitProfile() returns.","Nick","Complete",,,
4344,,,,"Pfd2","Ap Recom",,,,"The profile object should verify that the contents of its CMP fields at exit from this method form a valid configuration for SBB instances.  If not, a ProfileVerificationException should be thrown.",,,,,,,,,,,
4345,,,,"Pfd2","Self-Evident",,,,"ProfileVerificationException - if the profile fails any verification check.",,,,,,,,,,,
4346,"javax.slee.profile.ProfileManagement","markProfileDirty",,"Pfd2","Method",,,,,,,"Test4346Test",,,"Create service with profile. Mark profile dirty during profileinitiialize, verify that it doesn't throw exception, set attr if no exception thrown.  Edit profile, verify that attr is at the success value.  Return test pass/faile.","Cath","Complete",,,
4347,,,"1","Pfd2","Covered",1032,,,"Mark the profile as being dirty, i.e. that is has been modified since it was last committed.",,,,,,,,,,,
4348,,,"1","Pfd2","Repeat","1033",,,"Modifying a CMP field automatically flags the profile as being dirty, so this method only needs to be called, for example, if transient state changes.",,,,,,,,,,,
4349,,,"2 ","Pfd2","Ap Req",,,"Low","An SBB Developer must not implement this operation.  It is implemented by the SLEE at deployment time.",,,,,,,,,,,
4350,,,"3","Pfd2","Impossible",,,,"This method must be invoked with a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
4351,"javax.slee.profile.ProfileManagement","isProfileDirty",,"Pfd2","Method","4381",,,,,,,,,,,,,,
4352,,,"2 ","Pfd2","Ap Req",,,"Low","An SBB Developer must not implement this operation.  It is implemented by the SLEE at deployment time.",,,,,,,,,,,
4353,,,"3","Pfd2","Impossible",,,,"This method must be invoked with a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
4354,,,"4","Pfd2","Covered",4381,,,"Returns true if the profile has been modified since last being committed, false otherwise.",,,,,,,,,,,
4355,"javax.slee.profile.ProfileManagement","isProfileValid",,"Pfd2","Method","4357",,,,,,,,,,,"Complete",,,
4356,,,"3","Pfd2","Impossible",,,,"This method must be invoked with a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
4357,,,"4","Pfd2","Covered","1040",,,"Returns true if the profile referenced by the profile identifier currently exists, false otherwise.",,,,,,,,,,,
4358,,,"5.1","Pfd2","Assertion",,,"Low","java.lang.NullPointerException - if id is null.",,,,,,,,,,,
4359,,,"5.2","Pfd2","Impossible",,,,"SLEEException - if the profile identifier could not be validated due to a system-level failure.",,,,,,,,,,,
4483,,,"2 ","Pfd3","Ap Req",,,"Low","An SBB Developer must not implement this operation.  It is implemented by the SLEE at deployment time.",,,,,,,,,,,
4360,"javax.slee.profile.ProfileMBean",,"1","Pfd2","Covered","4362,4365,4371,4378,4381,4384",,,"This interface must be implemented by a Profile MBean Class generated by the SLEE for a profile specification.  This interface contains essential operations for managing the life cycle of Profile MBean objects.",,"editProfile(), closeProfile(), commitProfile(), restoreProfile(), isProfileDirty(), isProfileWritable() are all exercised by other tests",,,,,,,,,
4361,"javax.slee.profile.ProfileMBean","editProfile",,"Pfd2","Method","4362",,,,,,,,,,,,,,
4362,,,"1","Pfd2","Assertion",,,"High","Request that the client be granted read/write access to the profile so that it may be updated.  If the client already has read/write access to the profile, this method returns silently.",,,"ProfileUpdateTest","Profile state: read only; read/write","Profile state: read only; read/write","On a profile in read only state, call editProfile().  Verify that the profile is now in a read/write state by calling a setter method and using the getter method to verify that the field was updated.  Call editProfile()again to verify that no exception is thrown.","Nick","Complete",,,
4363,,,"2.1","Pfd2","Impossible",,,,"ManagementException - if the profile could not be opened in read/write mode due to a system-level failure.",,,,,,,,,,,
4364,"javax.slee.profile.ProfileMBean","commitProfile",,"Pfd2","Method","4365,4366,1946,4368",,,,,,,,,,,"Complete",,,
4365,,,"1","Pfd2","Assertion",,,"High","Reques tthat changes made to a profile be committed by the SLEE.  If this method returns successfully, the SLEE must again permit the client read-only access to the profile.",,,"ProfileStateTest",,,,"Nick","Complete",,,
4366,,,"2.1","Pfd2","Assertion",,,"High","InvalidStateException - if the clietn does not have reda/wirte access to the profile.",,,"ProfileStateTest","Profile state: read only","Profile state: read only","Invoke commitProfile on a profile in read only state.  Check that an InvalidStateException is thrown.","Nick","Complete",,,
4367,,,"2.2","Pfd2","Covered",1946,,,"ProfileVerificationException - if thrown by the ProfileManagement.profileVerify() callback method in the profile's Profile Manangement Abstract Class.  ",,,,,,,,,,,
4368,,,"2.2","Pfd2","Assertion",,,"High","This exception can also be thrown by the profile MBean if the deployment descriptor for the profile specification documents an indexed attribute as requiring unique values and a non-unique value has been supplied in the profile.",,,"ProfileVerification","Index type/values applied: non-unique/non-unique; unique/unique; unique/non-unique","Index type/values applied: non-unique/non-unique (no exception); unique/unique (no exception); unique/non-unique (should throw ProfileVerificationException)","For each combination of index type and values, edit the profile, set the values using the setter method and commit changes to the profile.  Check that a ProfileVerificationException is thrown only in the appropriate test cases.","Nick","Complete",,,
4369,,,"2.3","Pfd2","Impossible",,,,"ManagementException - if the commit operation could not be successfully completed due to a system-level  failure.",,,,,,,,,,,
4370,"javax.slee.profile.ProfileMBean","restoreProfile",,"Pfd2","Method","4371,4373,4374",,,,,,,,,,,"Complete",,,
4371,,,"1","Pfd2","Assertion",,,"High","Request that changes made to the profile should be discarded by the SLEE.  ",,,"ProfileUpdate","Profile states: read/write with no uncommitted changes; read/write state with uncommitted changes.","Profile states: read/write state with changes to discard.","Record the current value of an attribute in the profile.  Make a profile editable by invoking the editProfile() MBean method.  Update the attribute using a setter method.  Invoke restoreProfile().  Check that the original value of the attribute has been resoted.","Nick","Complete",,,
4372,,,"1","Pfd2","Optional",,,,"This method is typically invoked by a management client, but may also be invoked by the SLEE if a client session times out.",,,,,,,,,,,
4373,,,"1","Pfd2","Assertion",,,"High","If this method returns successfully, the SLEE must again permit the client read-only access to the profile.",,"Read only test case is covered by 4374","ProfileUpdateTest","Profile states: read/write; read only","Profile state: read/write","Make a read only profile editable by invoking the editProfile() MBean method.  Invoke restoreProfile().  Check that the profile is again in the read only state.","Nick","Complete",,,
4374,,,"2.1","Pfd2","Assertion",,,"High","javax.slee.InvalidStateException - if the client does not have read/write access to the profile.",,"Read/write test case is covered by 4373","ProfileStateTest","Profile states: read/write; read only","Profile state: read only","Invoke the editProfile() method on a read only profile.  Check that an InvalidStateException is thrown.","Nick","Complete",,,
4375,,,"2.2","Pfd2","Impossible",,,,"ManagementException - if the restore operation could not be successfully completed due to a system-level failure.",,,,,,,,,,,
4376,"javax.slee.profile.ProfileMBean","closeProfile",,"Pfd2","Method","4378",,,,,,,,,,,"Complete",,,
4377,,,"1","Pfd2","Ap Recom",,,,"Notify the SLEE that the profile is no longer required by the management client.  As the SLEE may subsequently deregister the profile from the MBean server if no other client is currently accessing a profile, a client that invokes this method should assume that the Object Name they had for the profile is no longer valid once this method returns.",,,,,,,,,,,
4378,,,"2.1","Pfd2","Assertion",,,"High","javax.slee.InvalidStateException - if the profile is in read-write mode and contains uncommitted changes.",,,"ProfileStateTest","Profile state: read/write with uncommitted changes; read/write without uncommitted changes","Profile state: read/write with uncommitted changes; read/write without uncommitted changes","For a profile in each state invoke closeProfile().  Check that an InvalidStateException is thrown only for the profile with uncommited changes","Nick","Complete",,,
4379,,,"2.2","Pfd2","Impossible",,,,"ManagementException - if the profile could not be closed by the SLEE due to a system-level failure.",,,,,,,,,,,
4380,"javax.slee.profile.ProfileMBean","isProfileDirty",,"Pfd2","Method","4381",,,,,,,,,,,"Complete",,,
4381,,,"2 ","Pfd2","Assertion",,,"High","Returns true if the profile has been modified in the current editing session, false if the profile hasn't been modified or the profil eis read-only to the client.",,,"ProfileState","Profile state: read only; read/write without modifications; read/write with uncommitted modifications","Profile state: read only (expected value FALSE); read/write without modifications (expected value FALSE); read/write with uncommitted modifications (expected value TRUE)","For a profile in each state test the return value of the isProfileDirty() method and check that the expected value is returned","Nick","Complete",,,
4382,,,"3.1","Pfd2","Impossible",,,,"ManagementException - if it could not be determined if the profile has been modified due to a system-level failure.",,,,,,,,,,,
4383,"javax.slee.profile.ProfileMBean","isProfileWriteable",,"Pfd2","Method","4384,4386",,,,,,,,,,,"Complete",,,
4384,,,"2 ","Pfd2","Assertion",,,"High","Returns true if the Profile MBean may be changed by the management client.",,,"ProfileStateTest","Profile state: read only; read/write","Profile state: read only (expected value FALSE); read/write (expected value TRUE)","For a profile in each state test the return value of the isProfileWritable() method and check that the expected value is returned","Nick","Complete",,,
4385,,,"3.1","Pfd2","Impossible",,,,"ManagementException - if the read-write status of the profile could not be interrogated due to a system-level failure.",,,,,,,,,,,
4386,"javax.slee.profile.ProfileRemovedEvent",,"1","Pfd2","Assertion",,,"High","This interface is implemented by profile removed events generated by ProfileProvisioningMBean objects when a profile is removed from a profile table.",,,"Test4386Test",,,"Remove a Profile, receive the ProfileRemovedEvent and verify that ProfileRemovedEvent is implemented.","Cath","Complete",,,
4387,,,"2 ","Pfd2","Assertion",,,"Low","The event type name of profile removed events is ""javax.slee.profile.ProfileRemovedEvent"".",,,,,,,,,,,
4388,"javax.slee.profile.ProfileRemovedEvent","getProfile",,"Pfd2","Method","4389",,,,,,,,,,,,,,
4389,,,"2 ","Pfd2","Assertion",,,"High","Returns the profile identifier for the profile that was removed.",,,"Test4386Test",,,"Remove a profile, call ProfileRemovedEvent.getProfile() send the ProfileID to the TCK and verify in the TCK that the correct ID was retrieved.","Cath","Complete",,,
4390,"javax.slee.profile.ProfileRemovedEvent","getProfileTableAddress",,"Pfd2","Removed",,,,,,,,,,,,,,,
4391,,,"2 ","Pfd2","Removed",,,,"Returns the address of the profile table from which the profile was removed.",,,"Test4386Test",,,"Remove a profile, call ProfileRemovedEvent.getProfileTableAddress() send to the TCK and verify that it's correct.","Cath","Removed",,,
4750,"javax.slee.profile.ProfileRemovedEvent","getProfileAddress",,"Pfd3","Method","4751",,,,,,,,,,,,,,
4751,,,"1","Pfd3","Assertion",,,"High","Get the address of the profile that was removed.",,,"Test4386Test",,,"Remove a profile, call ProfileRemovedEvent.getProfileAddress(), then vefiry that the address is (profile table name)/(profile name). ","Matt","Complete",,,
4752,,,"1","Pfd3","Assertion",,,"High","The address plan of this address is AddressPlan.SLEE_PROFILE. ",,,"Test4386Test",,,"Remove a profile, call ProfileRemovedEvent.getProfileAddress(), then vefiry that the address plan of the returned address is AddressPlan.SLEE_PROFILE. ","Matt","Complete",,,
4604,"javax.slee.profile.ProfileRemovedEvent","getRemovedProfile",,,"Method","4605",,,,,,,,,,,,,,
4605,,,,,"Repeat","2073",,,"Returns the committed state of the profile just before it was removed.",,,,,,,,,,,
4392,"javax.slee.profile.ProfileSpecificationDescriptor","getCMPInterfaceName",,"Pfd2","Method","4393",,,,,,,,,,,,,,
4393,,,"2 ","Pfd2","Assertion",,,"High","Returns the name of the profile specification's CMP interface.",,,"Test4393Test",,,"Get ProfileDescriptor, then cal lmethod and verify that correct CMP interface name is returned.","Cath","Complete",,,
4394,"javax.slee.profile.ProfileSpecificationID",,"1","Pfd2","Context",,,,"The ProfileSpecificationID interface is a marker interface implemented by every Java object that encapsulates profile specification component identity.",,,,,,,,,,,
4395,"javax.slee.profile.ProfileTableActivity","getProfileTableName",,"Pfd2","Method","4396",,,,,,,,,,,,,,
4396,,,"2 ","Pfd2","Assertion",,,"High","Returns the name of the profile table corresponding to this activity.",,,"Test4396Test",,,"Create ProfileTable with name Test4396Sbb.PROFILE_TABLE_NAME. Get ProfileTableActivity object, call getProfileTableName() and verify that it equals Test4396Sbb.PROFILE_TABLE_NAME.","Cath","Complete",,,
4397,"javax.slee.profile.ProfileTableActivityContextInterfaceFactory",,"1","Pfd2","Context",,,,"The Profile Table Activity Context Interface Factory is used by SBBs to obtain an ActivityContextInterface object for a profile table activity.",,,,,,,,,,,
4398,,,"2 ","Pfd2","Assertion",,,"Low","SBB JNDI Location: java:comp/env/slee/facilities/profiletableactivitycontextinterfacefactory",,,,,,,,,,,
4399,"javax.slee.profile.ProfileTableActivityContextInterfaceFactory","getActivityContextInterface",,"Pfd2","Method","4401",,,,,,,,,,,,,,
4400,,,"2 ","Pfd2","Impossible",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
4401,,,"4","Pfd2","Assertion",,,"High","Returns an ActivityContextInterface object that encapsulates the profile table activity.",,,"Test4283Test",,,"ProfileTableActivityContextInterfaceFactory.getActivityContextInterface(profileActivity).getActivity().equals(profileActivity)","Cath","Complete",,,
4402,,,"5.1","Pfd2","Assertion",,,"Low","java.lang.NullPointerException - if activity is null.",,,,,,,,,,,
4403,,,"5.2","Pfd2","Impossible",,,,"TransactionRequiredLocalException - if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
4404,,,"5.3","Pfd2","Assertion",,,"Low","UnrecognizedActivityException - if activity is not a valid null activity created by the SLEE.",,,,,,,,,,,
4405,,,"5.4","Pfd2","Impossible",,,,"FactoryException - if the ActivityContextInterface object could not be created due to a system-level failure.",,,,,,,,,,,
4406,"javax.slee.profile.ProfileUpdatedEvent",,"1","Pfd2","Self-Evident",,,,"This interface is implemented by profile updated events generated by ProfileMBean objects when a profile is updated.",,"Java type safety ensures this: the fact that it is delivered to an event handler which declares ProfileUpdatedEvent as an argument type implies that the event implements the interface.","Test4406Test",,,"Update a profile, receive the  ProfileUpdatedEvent, and verify that the ProfileUpdatedEvent does implement ProfileUpdatedEvent.","Cath","Removed",,,
4407,,,"2 ","Pfd2","Assertion",,,"Low","The event type name of profile updated events is ""javax.slee.profile.ProfileUpdatedEvent"".",,,,,,,,,,,
4408,"javax.slee.profile.ProfileUpdatedEvent","getProfile",,"Pfd2","Method","960",,,,,,,,,,,,,,
4409,,,"2 ","Pfd2","Repeat","960",,,"Returns the profile identifier for the profile that was updated.",,,"Test4406Test",,,"Update a profile, in the event handler call ProfileUpdatedEvent.getProfile() and send to the TCK.  Verify that the correct ProfileID in the TCK.","Cath","Removed",,,
4410,"javax.slee.profile.ProfileUpdatedEvent","getProfileAddress",,"Pfd2","Method","4411",,,,,,,,,,,,,,
4411,,,"2 ","Pfd2","Covered","922",,,"Returns the address of the profile that was updated.",,,"Test4406Test",,,"Update a profile.  In the event handler call getProfileAddress() and try to verify that the correct address is given.","Cath","Removed",,,
4606,"javax.slee.profile.ProfileUpdatedEvent","getBeforeUpdateProfile",,,"Method","4607",,,,,,,,,,,,,,
4607,,,,,"Repeat","2077",,,"Returns the committed state of the profile before it was updated.",,,,,,,,,,,
4608,"javax.slee.profile.ProfileUpdatedEvent","getAfterUpdateProfile",,,"Method","4609",,,,,,,,,,,,,,
4609,,,,,"Repeat","2077",,,"Returns the committed state of the profile after it was updated.",,,,,,,,,,,
4412,"javax.slee.profile.ResourceInfoProfileCMP",,"1","Pfd2","Assertion",,,"High","This interface must be used for profile specifications that will be used for a Service's Resource Info Profile Table.",,,"Test4412Test",,,"Create an SBB and a Service where the Service specifies the javax.slee.profile.ResourceInfoProfileCMP as its resource-info-profile-table element and verify that the DU installs and starts.","Cath","Complete",,,
4413,"javax.slee.profile.ResourceInfoProfileCMP","getInfo",,"Pfd2","Method","4414",,,,,,,,,,,,,,
4414,,,"2 ","Pfd2","Assertion",,,"Low","Gets the resource information.",,,,,,,,,,,
4415,"javax.slee.profile.ResourceInfoProfileCMP","setInfo",,"Pfd2","Method","4416",,,,,,,,,,,,,,
4416,,,"1","Pfd2","Assertion",,,"Low","Sets the resource information.",,,,,,,,,,,
