"Last: 2510","JAIN SLEE 1.0 Technical Specification Assertions",,,,,"T?: 0",,9,306,503,74,90,462,"Active: 1"
1392,"13.6.1.2","1.7","Pfd3","Assertion",,,"If the attributeName argument identifies an attribute that is not indexed, then the method throws a javax.slee.profile.AttributeNotIndexedException.",,,"facilities/profilefacility/ProfileFacilityTest-exception",,,,"Complete"
1393,"13.6.1.2","1.7","Pfd3","Assertion",,,"If any of the method's arguments are null, the method throws a java.lang.NullPointerException.",,,"facilities/profilefacility/ProfileFacilityTest-exception",,,,"Complete"
1394,"13.6.1.2",,"Pfd3","Removed",,,"The Iterator object iterator returned by this method is immutable.  The Iterator object must throw java.lang.UnsupportedOperationException when its remove method is invoked.",,,,,,"Call getProfilesByIndexedAttribute and call the remove() method on the returned Iterator.","Removed"
2095,"13.6.1.2","1.8","Pfd3","Ap Recom",,,"The Collection object, its Iterator objects, and the Profile identifiers obtained from these objects are only valid within the transaction that returned the Collection object.",,"There's no indication of expected SLEE behaviour where the object is used in another transaction.  This assertion only mandates that an SBB should not reuse the returned Object in another transaction.",,,,,
1395,"13.6.1.3","1","Pfd2","Covered","1383,1386",,"The getProfileByIndexedAttribute method has the same semantics as the getProfilesByIndexedAttribute method except that the Profile identifier of the first Profile that satisifies the search criteria is returned.  (The SLEE can stop the search after the first match.)",,,,,,,
1396,"13.6.1.3","1","Pfd2","Assertion",,,"This method returns null if no Profile in the specified Profile Table satisfies the search criteria.",,,"facilities/profilefacility/ProfileFacilityTest-getProfile",,,,"Complete"
1397,"13.6.1.4","1","Pfd2","Assertion",,,"The getProfileTableActivity method returns the Activity object of the Profile Table specified by the profileTableName argument.",,,"Test1397Test",,,"Call getProfileTableActivity(TableName) and verify that something is returned.","Complete"
1398,"13.6.1.4","1","Pfd2","Assertion",,,"If the profileTableName argument does not identify a Profile Table reconized by the SLEE, the method throws a javax.slee.profile.UnrecognizedProfileTableNameException.",,,"Test1397Test",,,,"Complete"
1399,"13.6.1.4","1","Pfd2","Assertion",,,"If the profileTableName argument is null, the method throws a java.lang.NullPointerException.",,,,,,,
1400,"13.6.1.5","1","Pfd2","Removed",,,"The getProfileActivity method returns the Activity object of the Profile specified by the profileID argument.",,,"Test1400Test",,,"Call getProfileActivity(ProfileID) after retrieving the profile via getProfileByIndexedAttribute.  GetProfileActivity() is currently unimplemented.","Removed"
1401,"13.6.1.5","1","Pfd2","Removed",,,"If the Profile Table name is the profileID argument does not identify a Profile Table recognized by the SLEE. the method throws a javax.slee.profile.UnrecognizedProfileTableNameException.",,"Untestable - ProfileID elements are only usable in the TXN that they are obtained and an SBB cannot nuke a Profile Table.  A ProfileID can only be obtained for an existent ProfileTable/Profile combination.",,,,,
1402,"13.6.1.5","1","Pfd2","Removed",,,"If the Profile Table name in the profileID argument identifies a Profile Table recognized by the SLEE but the Profile name in the profileID argument does not identify a Profile within the identified Profile Table, then the method throws a javax.slee.profile.UnrecognizedProfileNameException.",,"Untestable - ProfileID elements are only usable in the TXN that they are obtained and an SBB cannot nuke a Profile Table.  A ProfileID can only be obtained for an existent ProfileTable/Profile combination.",,,,,
1403,"13.6.1.5","1","Pfd2","Removed",,,"If the profileID argument is null, the method throws a java.lang.NullPointerException.",,,,,,,
1404,"13.7","3","Pfd2","Ap Recom",,,"The SLEE strongly recommends that SBB Developers use the dot notation format of Java Properties and following the following naming conventions:",,,,,,,
1405,"13.7","3.1","Pfd2","Ap Recom",,,"slee.xxx is reserved for future use by the SLEE specification.",,,,,,,
1406,"13.7","3.2","Pfd2","Ap Recom",,,"sbb.vendorname.xxx is recommended for SBB Developers to annotate the various alarm types and message types than an SBB from a specific vendor can emit.",,,,,,,
1407,"13.7","3.3","Pfd2","Ap Recom",,,"resourcename.vendorname.xxx is recommended to annotate the various alarm types and message types that a specific resource from a specific vendor can emit.",,,,,,,
1408,"13.8","1","Pfd2","Context",,,"The following table lists the SLEE specification defined names of the objects of SLEE Facilities under java:comp/env.",,,,,,,
1409,"13.9","1.1","Pfd2","Assertion",,,"TimerFacility object: slee/facilities/timer",,,"facilities/timerfacility/TimerFacilityTest-jndi",,,,"Complete"
1410,"13.8","1.2","Pfd2","Assertion",,,"AlarmFacility object: slee/facilities/alarm",,,"sbb.abstractclass.JndiEnvironment",,,"Lookup jndi name of facility.  Check returned object is assignable to the required interface","Complete"
1411,"13.8","1.3","Pfd2","Assertion",,,"TraceFacility object: slee/facilities/trace",,,"sbb.abstractclass.JndiEnvironment",,,"Lookup jndi name of facility.  Check returned object is assignable to the required interface","Complete"
1412,"13.8","1.4","Pfd2","Removed",,,"UsageFacility object: slee/facilities/usage",,,"sbb.abstractclass.JndiEnvironment",,,"Lookup jndi name of facility.  Check returned object is assignable to the required interface","Removed"
1413,"13.8","1.5","Pfd2","Assertion",,,"ActivityContextNamingFacility object: slee/facilities/activitycontextnaming",,,"facilities/activitycontextnamingfacility/ActivityContextnamingFacilityTest-jndi",,,,"Complete"
1414,"13.8","1.6","Pfd2","Assertion",,,"ProfileFacility object: slee/facilities/profile",,,"facilities/profilefacility/ProfileFacilityTest-jndi",,,,"Complete"
1415,"13.8","1.7","Pfd2","Assertion",,,"ProfileTableActivityContextInterfaceFactory object: slee/facilities/profiletableactivitycontextinterfacefactory",,,"sbb.abstractclass.JndiEnvironment",,,"Lookup jndi name of facility.  Check returned object is assignable to the required interface","Complete"
1416,"13.8","1.8","Pfd2","Removed",,,"ProfileActivityContextInterfaceFactory object: slee/facilities/profileactivitycontextinterfacefactory",,,"sbb.abstractclass.JndiEnvironment",,,"Lookup jndi name of facility.  Check returned object is assignable to the required interface","Removed"
1417,"14.2","1","Pfd2","Context",,,"The SLEE specification defines the following MBean interfaces in the java.slee.management package.",,,,,,,
1418,"14.2","1.1","Pfd2","Self-Evident",,,"The SleeManagementMBean interface.",,,,,,,
1419,"14.2","1.2","Pfd2","Self-Evident",,,"The DeploymentMBean interface.",,,,,,,
1420,"14.2","1.3","Pfd2","Self-Evident",,,"The ServiceManagementMBean interface.",,,,,,,
1421,"14.2","1.5","Pfd3","Self-Evident",,,"The ProfileProvisioningMBean interface.",,,,,,,
1422,"14.2","1.6","Pfd3","Self-Evident",,,"The AlarmMBean interface.",,,,,,,
1423,"14.2","1.7","Pfd3","Self-Evident",,,"The TraceMBean interface.",,,,,,,
1424,"14.2","1.4","Pfd3","Self-Evident",,,"The SBBUsageMBean interface.",,,,,,,
1425,"14.2","2","Pfd2","Context",,,"A SLEE MBean class is a class that implements a particular SLEE MBean interface in accordance with the JMX specification.",,,,,,,
1426,"14.2.1","1","Pfd2","Context",,,"The following are requirements that must be considered in the implementation of a SLEE MBean class:",,,,,,,
1427,"14.2.1","1.1","Pfd2","Assertion",,,"The SLEE MBean class must be implemented in accordance with the JMX 1.0 specification.",,,,,,,
1428,"14.2.1","1.2","Pfd2","Assertion",,,"The SLEE MBean class can be implemented as a standard MBean, a dynamic MBean, or a model MBean, but must present the corresponding SLEE MBean interface to the MBean server.",,,,,,,
1429,"14.2.1","1.3","Pfd2","Assertion",,,"Where a SLEE MBean interface defines a get and/or set accessor method that follows the design pattern for a managed attribute, the SLEE MBean class must ensure that the target of the accessor is accessible and/or updateable via both the invoke and getAttribute/setAttribute methods of the MBean Server.  This is the default behavior of a standard MBean.",,,"Test1429Test","Operations: getAttribute(),setAttribute(),invoke setter,invoke getter","Operations: getAttribute(),invoke getter. ( setAttribute() and invoke setter are excluded because no setter method in the SLEE Management MBeans follows the JMX attribute pattern )","Access state from the SLEE Management MBeans both by invoking the getter method, and by calling getAttribute() in the MBeanServer.","Complete"
2096,"14.2.1","1.3","Pfd3","Assertion",,,"The attribute name passed to getAttribute/setAttribute is case sensitive, and must match the get/set method(s).  E.g. For getState, the attribute name is ""State"".",,,"Test2096Test",,,"Call getAttribute(""State"") and getAttribute(""state"").  Verify that only the first returns a valid value, and the second throws the required AttributeNotFoundException.","Complete"
1430,"14.2.1","1.4","Pfd2","Assertion",,,"If a method defined in a SLEE MBean interface returns one or more Object Names of other SLEE MBean objects, the implementation of the method must make sure that thet respective MBean objects are registered with the SLEE's MBean Server before returning.",,"All SleeManagementMBean methods covered by 1505: getDeploymentMBean(),getServiceManagementMBean(),getProfileProvisioningMBean(),getTraceMBean(),getAlarmMBean(). ProfileProvisioningMBean methods covered by 1117: getDefaultProfile(),getProfile(),createProfile(). Test1647 tests ProfileProvisioningMBean.getProfileTables(),ProfileProvisioningMBean.getProfiles(String profileTableName). Test1649 tests ProfileProvisioningMBean.getProfilesByIndexedAttribute(). Test3980 tests ServiceManagementMBean.getServiceUsageMBean(ServiceID id) ","Test1647Test,Test1649Test,Test3980Test","(All SLEE MBean methods which return ObjectNames )","(All SLEE MBean methods which return ObjectNames )","Call MBeanServer.isResitered(name) for the name returned by the MBean method.","NeedsUpdating"
1431,"14.2.1","1.5","Pfd2","Impossible",,,"If the SLEE MBean class generates notifications, it must implement the JMX javax.management,NotificationBroadcaster interface.  ",,,,,,,
1873,"14.2.1","1.5","Pfd2","Self-Evident",,,"The SLEE MBean interface itself does not extend this interface directly as the addNotificationListener and removeNotificationListener methods of the NotificationBroadcaster interface should not be exposed as management operations that can be invoked by the management client.",,,,,,,
1874,"14.2.1","1.5","Pfd2","Context",,,"Notification listeners should be added or removed via the MBean server.",,,,,,,
1432,"14.2.1","1.6","Pfd2","Context",,,"The implementation classes of the following SLEE MBean interfaces emit notifications and must implement the NotificationBroadcaster interface:",,,,,,,
1433,"14.2.1","1.6.1","Pfd2","Context",,,"The SleeManagementMBean interface.",,,,,,,
1434,"14.2.1","1.6.2","Pfd2","Context",,,"The AlarmMBean interface.",,,,,,,
1435,"14.2.1","1.6.3","Pfd2","Context",,,"The TraceMBean interface.",,,,,,,
1436,"14.2.1","1.6.4","Pfd3","Context",,,"The SBBUsageMBean interface.",,,,,,,
1437,"14.2.1","1.7","Pfd2","Assertion",,,"Each of these implementation classes must implement the notification broadcaster semantics defined by the JMX specification.  This includes the filtering semantics defined by the JMX NotificationBroadcaster and NotificationFilter interfaces.",,,,,,,
1438,"14.2.2","1","Pfd2","Context",,,"The following are requirements for the management client that accesses the SLEE MBean objects.",,,,,,,
1439,"14.2.2","1.1","Pfd2","Ap Recom",,,"The management client may not hold any direct references to a SLEE MBean object.  If may only reference a SLEE MBean object by its Object Name.  In other words, it can only invoke a SLEE MBean object through an MBean server, and it identifies the SLEE MBean object to be invoked by the Object Name of the SLEE MBean object.",,,,,,,
1440,"14.2.2","1.2","Pfd2","Context",,,"Since the management client cannot hold a direct reference to a SLEE MBean object, it cannot directly add or remove itself as a notification listener to a SLEE MBean object that implements the NotificationBroadcaster interface.  Rather, the manangement client register and removes a listener by invoking the MBean Server's addNotificationListener and removeNotificationListener methods, passing to these methods the Object Name of the SLEE MBean object that the management client wants to begin or stop receiving notifications from.",,,,,,,
1441,"14.3","1","Pfd2","Context",,,"The SLEE specification mandates the use of the JMX MLet (management applet) specification in order for management clients to gain access to the SLEE MBean Server and SLEE MBean objects.",,,,,,,
1442,"14.3.1","1","Pfd2","Out of Scope",,,"The vendor of a SLEE management client must define and implement an MLet MBean that acts as a JMX connector or protocol adaptor.  This MLet is registered with the SLEE MBean Server and provides an adaptation layer between the SLEE management operations and the management client's front end.  The management client MLet can use any proprietory mechanism in order to communicate requests and responses from the front end to the SLEE's MBean Server.",,,,,,,
1443,"14.3.1","2","Pfd2","Context",,,"The requirements of the management client MLet MBean are:",,,,,,,
1444,"14.3.1","2.1","Pfd2","Out of Scope",,,"The MLet must be implemented in accordance with the JMX specification for MBeans.",,,,,,,
1445,"14.3.1","2.2","Pfd2","Out of Scope",,,"The MLet can be implemented as a standard MBean, a dynamic MBean, or a model MBean.",,,,,,,
1446,"14.3.1","2.3","Pfd2","Out of Scope",,,"The MLet should implement the javax.management.MBeanRegistration interface.  The preRegister method defined in this interface provides the MLet with the MBean Server instance that the SLEE MBean objects are registered with.",,,,,,,
1447,"14.3.1","2.4","Pfd2","Out of Scope",,,"A suitable MLet text file that provides the necessary codebase and instantiation class information should be provided with the MLet distribution.",,,,,,,
1448,"14.3.2","1","Pfd2","Covered","(Implicitly by the TCK plugin)",,"The SLEE specification requires that a SLEE vendor implement the necessary functionality to load and instantiate management client MLet MBeans using the MLet specification.",,,,,,,
1875,"14.3.2","1","Pfd2","Out of Scope",,,"The javax.management.load.MLet MBean can be used by a SLEE implementation to perform the actual parsing of an MLet text file and instantiation of the MBeans defined in it.",,,,,,,
1449,"14.3.2","1","Pfd2","Covered","(Implicitly by the TCK plugin)",,"The SLEE must ensure that the MBean Server that the MLets are registered with is the same MBean Server (or a remote image of it) that the SLEE MBean objects are registered with in order for the MLet to invoke the SLEE's management operations.",,,,,,,
1450,"14.3.2","2","Pfd2","Out of Scope",,,"The SLEE specification does not strictly define when during a SLEE's lifetime management client MLets should be instantiated.  However, the earliest that a SLEE implementation should instantiate MLets is after the initialization phase is complete and the SLEE is ready to accept management operations.  MLets may be instantiated any time after this point as the discretion of the SLEE implementation.",,,,,,,
1451,"14.3.3","2","Pfd2","Context",,,"The SLEE specification defines a SleeProviderFactory class.  A management client MLet invokes a static method on this factory class to obtain an object that implements the SleeProvider interface.  This SleeProvider object provides the management client MLet with the Object Name of the SleeManagementMBean object.  Using the MBean Server that it is registered with, the management client MLet can:",,,,,,,
1452,"14.3.3","2.1","Pfd2","Context",,,"use Object name of the SleeManangementMBean object to obtain the names of other  SLEE MBean objects.",,,,,,,
1453,"14.3.3","2.2","Pfd2","Context",,,"invoke SLEE MBeans objects.",,,,,,,
1454,"14.3.3","2.3","Pfd2","Context",,,"add and remove notification listeners to the SLEE MBean objects that generate notification.",,,,,,,
1455,"14.4","1","Pfd2","Context",,,"The SleeProviderFactory class provides static methods for obtaining an object instance of a SLEE vendor implemented concrete class that implements the SleeProvider interface.",,,,,,,
1456,"14.4.1","1","Pfd2","Context",,,"The getSleeProvider methods take the following arguments:",,,,,,,
1457,"14.4.1","1.1","Pfd2","Context",,,"The peerClassName argument: This argument specifies the fully qualified class name of the concrete SLEE vendor implemented Java class that implements the SleeProvider interface.",,,,,,,
1458,"14.4.1","2","Pfd2","Context",,,"The second form of the getSleeProvider method also takes the following argument:",,,,,,,
1459,"14.4.1","2.1","Pfd2","Context",,,"The classloader argument.  This argument specifies  a class loader that should be used to load the class specified by the peerClassName argument.",,,,,,,
1460,"14.4.1","3","Pfd2","Covered","(Implicitly by the TCK)",,"These methods attempt to instantiate an object instance of the specified Java class, and, if successful, return the instantiated SleeProvider object.",,,,,,,
1461,"14.4.1","4","Pfd2","Assertion",,,"These methods throw a java.lang.NullPointerException if peerClassName is null.",,,,,,,
1462,"14.4.1","4","Pfd2","Assertion",,,"In thesecond form, a NullPointerException is also thrown if classLoader is null.",,,,,,,
1463,"14.4.1","4","Pfd2","Assertion",,,"It throws a javax.slee.management.PeerUnavailableException if the peerClassName argument does not identify a class that implements theSleeProvider interface (in some cases the specified class cannot be found, or the argument is not well-formed).",,,,,,,
1464,"14.5","1","Pfd2","Covered","(Implicitly by the TCK)",,"A SLEE vendor must provide at least one concrete class that implements the SleeProvider interface.",,,,,,,
1465,"14.5","1","Pfd2","Context",,,"The vendor implementation allows a management client MLet to obtain theObject Name of the SleeManagementMBean, which allows a management client to manage the SLEE.",,,,,,,
1466,"14.5","2","Pfd2","Ap Recom",,,"Typically, a management  client obtains an instance of this concrete class via the getSleeProvider method of the SleeProviderFactory.",,,,,,,
1876,"14.5","2","Pfd2","Covered","(Implicitly by the TCK)",,"This concrete class must define a public no-argument constructor for use by the getSleeProvider method.",,,,,,,
1467,"14.5","3.1","Pfd2","Assertion",,,"The getSleeManangementMBean method returns the Object Name of a SleeManangementMBean object.",,,,,,,
1468,"14.6","2","Pfd2","Assertion",,,"The management client obtains the Object Name of a SleeManangementMBean object by invoking the getSleeManagementMBean method on a SleeProvider object.",,,,,,,
1469,"14.6","3","Pfd2","Assertion",,,"Each time the operational state of the SLEE changes, the SleeManagementMBean object generates a SLEE state change notification. ",,"Can't test Starting>Stopping transition, as this only occurs when some startup task fails.","SleeStateMachineTest","Transition: Stopped->Starting; Starting->Running; Running->Stopping; Stopping->Stopped; Starting->Stopping","Transition: Stopped->Starting; Starting->Running; Running->Stopping; Stopping->Stopped","Move the SLEE through each tested transition, and confirm that a notification is received for each change.","Complete"
1877,"14.6","3","Pfd2","Context",,,"The SleeStateChangeNotification class defines the information encapsulated in each SLEE state change notification.",,,,,,,
1878,"14.6","3","Pfd2","Repeat",4445,,"The concrete class that implements the SleeManagementMBean interface must extend the NotificationBroadcaster interface event though the SleeManagementMBean interface does not extend the NotificationBroadcaster interface.",,,,,,,
1983,"14.6","1","Pfd2","Assertion",,,"""The following figure illustrates the operational states of the SLEE and permitted transitions between these states:"" [Fig: ""Operational States of the SLEE""]. Valid state changes:  stopped -> shutdown shutdown -> stopped stopped -> starting starting -> stopping starting -> running running -> stopping stopping -> stopped",,"(1) Assertion text is a description of the state machine diagram. (2) We don't test transitions to or from the  shutdown state. (3) We can't force a transition  from starting -> stopping, but we can allow for it when checking transitions","SleeStateMachineTest","stopped -> shutdown shutdown -> stopped stopped -> starting starting -> stopping starting -> running running -> stopping stopping -> stopped ","stopped -> starting starting -> stopping starting -> running running -> stopping stopping -> stopped ","Move the SLEE through each SLEE state (not including shutdown), and check that the SLEE only makes valid state changes at each step.","Complete"
1470,"14.6.1","1.1","Pfd2","Covered",1487,,"Stopped state.  The SLEE environment is configured and initialized, ready to be started.  ",,,,,,,
1879,"14.6.1","1.1","Pfd2","Out of Scope",,,"This means ""active"" resource adaptor entities are loaded and initialized, and SBBs corresponding to ""Active"" Services are loaded and ready to be instantiated.  ",,,,,,,
1880,"14.6.1","1.1","Pfd2","Assertion",,,"However, the entire event-driven subsystem is idle.  Resource adaptor entities and the SLEE are not actively producing events, and the event router is not operating.",,,"Test1880Test",,,"Try to fire an event to an Sbb while the SLEE is in the STOPPED state. If the event is received, the event fails. If an Exception is generated from the fire event call, or the timeout is reached before receiving the event, the test passes.","Complete"
1881,"14.6.1","1.1","Pfd2","Covered",1880,,"SBB entities are not created in this state.",,"If the the entire event-driven subsystem is idle, then SBB entities cannot be created.",,,,,
1471,"14.6.1","1.2","Pfd2","Out of Scope",,,"Starting state.  ""Active"" resource adaptor entities are activated. Any other vendor-specific starting state tasks may be performed here. ",,,,,,,
1882,"14.6.1","1.2","Pfd2","Assertion",,,"SBB entities are still not created in this state.",,"From the STOPPING state, call start() on the SLEE, then fire an initial event to an Sbb. The test only fails if the entity is created, and getState() still returns STARTING. If the SLEE reaches the RUNNING state before creating the entity, the test passes. If the attempt to fire an event results in an exception, the test still passes.","Test1882Test",,,"Call start() from the stopped state and fire an initial event for an Sbb.  In the Sbb's onCreate() callback to the test and check the SLEE state.  Check that the state is running.  If the test receives an exception trying to fire an event while the SLEE is in the starting state the test passes anyway.","Complete"
1883,"14.6.1","1.2","Pfd2","Assertion",,,"The SLEE spontaneously moves out of this state when (a) startup tasks are complete, which causes transition to the Running state;",,,"SleeStateMachineTest",,,"Call start() from the Stopped state. Check that the SLEE reaches the Running state within a timeout.","Complete"
1884,"14.6.1","1.2","Pfd2","Impossible",,,"The SLEE spontaneously moves out of this state when ... (b) some startup task fails, which causes transitition to the Stopping state.",,,,,,,
2439,"14.6.1","1.2.1","Pfd3","Covered",2185,,"[during the transition from the starting state to the running state:] ServiceActivity objects are created for Services whose persistent state say they should be active, and a Service Started Event is are fired on each of these ServiceActivity objects.",,,,,,,
1472,"14.6.1","1.3","Pfd2","Covered","(many)",,"Running state.  ""Active"" resource adaptor entities (and the SLEE) are actively firing events as conditions dictate.  ",,"Covered by all event based tests, as the RUNNING state is the default state for TCK tests.",,,,,
1885,"14.6.1","1.3","Pfd2","Covered","(many)",,"The event router is instantiating SBB entities and delivering events to them as required.",,"Covered by all event based tests, as the RUNNING state is the default state for TCK tests.",,,,,
2440,"14.6.1","1.3.1","Pfd3","Covered","2414,2195",,"[during the transition from the running state to the stopping state:] Any ServiceActivity objects or ProfileTableActivity objects that exist are ended by the SLEE, and an Activity End Event is fired on each of them.",,,,,,,
1473,"14.6.1","1.4","Pfd2","Assertion",,,"Stopping state.  This state is identical to the Running state except no new Activity objects are accepted from resource adaptor entities or created by the SLEE. ",,,"CreateActivityWhileStoppingTest","Activity type: ProfileTableActivity; NullActivity; TCKActivity.","Activity type: ProfileTableActivity; NullActivity; TCKActivity.","Put the SLEE in the STOPPING state by attaching an Sbb to an activity and calling stop(). In the STOPPING state: a) Try to create a NullActivity, and check that the attempt fails b) Create a new Profile Table and try to lookup its activity, and check that the attempt fails c) Create a new TCKActivity via the TCK resource adaptor, and fire an event on it. The activity creation attempt or the event delivery should fail. Allow for the fact that prompts to the Sbb, send via events, may not make it to the Sbb if the SLEE ends our stalling activity due to a timeout.","Complete"
1981,"14.6.1","1.4","Pfd2","Removed",,,"Implied by 1473: New SBB entities can be instantiated for events fired on existing activities when the SLEE is in the Stopping state",,,"EventsAndSbbCreatesWhileStoppingTest",,,"Put the SLEE in the STOPPING state by attaching an Sbb to an activity A and calling stop().  Fire an initial event on A with a convergence name such that a new Sbb should be created.  Confirm that the new Sbb is created by sending an ACK to the test from the event handler.","Removed"
1982,"14.6.1","1.4","Pfd2","Implied",1473,,"Implied by 1473: Events are delivered on existing activities  when the SLEE is in the Stopping state",,,"EventsDeliveredWhileStoppingTest","Sbb entity created during: RUNNING state; STOPPING state","Sbb entity created during: RUNNING state; STOPPING state","Put the SLEE in the STOPPING state by attaching an Sbb to an activity A and calling stop().  Fire another event to the attached Sbb and confirm that it is received.","Complete"
1886,"14.6.1","1.4","Pfd2","Assertion",,,"Existing Activity objects are allowed to end (subject to an arbitrary vendor-specified timeout). ",,,"SleeStateMachineTest","Activities have ended?: yes/no","Activities have ended?: yes/no","From the RUNNING state, attach an Sbb to activity A. Call stop() on the SLEE. Wait for a certain length of time without ending the activity (eg 5 seconds) then check the SLEE state. If in the STOPPED state, fail unless the  SLEE ended the activity. End the activity to allow the SLEE to stop.","Complete"
1887,"14.6.1","1.4","Pfd2","Assertion",,,"The SLEE spontaneously moves out of this state when all Activity objects have ended.",,,"SleeStateMachineTest",,,"From the RUNNING state, attach an Sbb to activity A. Call stop() on the SLEE. End the activity, then confirm that the SLEE transitions to the STOPPED state within a timeout","Complete"
1888,"14.6.1","1.4","Pfd2","Impossible",,,"If this state is reached from the Starting state, there will be no existing Activity objects and transition to the Stopped state should immediately occur.",,"No standard way to trigger a transition from the STARTING state to the STOPPING state",,,,,
1474,"14.6.1","1.4.1.1","Pfd2","Impossible",,,"The implementation of a SLEE must ensure that shutdown cannot fail.  For example, if a resource adaptor entity fails to deactivate properly, the SLEE should just ignore any further events it produces.",,,,,,,
1475,"14.6.1.1","1","Pfd2","Out of Scope",,,"When a SLEE boots it may exist in an indeterminate state until it is fully initialized.",,,,,,,
1476,"14.6.1.1","1","Pfd2","Impossible",,,"After initialization has completed, the SLEE enters the stopped state.",,,,,,,
1477,"14.6.1.1","1","Pfd2","Impossible",,,"Management connections must only be permitted once the SLEE enters a valid state, therefore while the SLEE is initializing client connections must be rejected.",,,,,,,
1478,"14.6.1.1","2","Pfd2","Optional",,,"A SLEE vendor may choose to persist the operational state of the SLEE and re-enter that state when the SLEE server process(es) restart.",,,,,,,
1479,"14.6.1.2","1","Pfd2","Assertion",,,"The SLEE state has no effect on the availability of any management MBean.  A SLEE vendor may prescribe when manangement operations may be available, however they may only do so by limiting the availability of  a SLEE MBean Server.",,"The SLEE cannot limit the availability of the MBeanServer to the TCK, as the TCK plugin is registered inside the MBeanServer, and the TCK connects to the plugin via RMI. The test should therefore check that all management interfaces are available in each Slee state, using MBeanServer.isRegistered().","Test1479Test",,,"From the RUNNING state, attach an Sbb to activity A. Call stop() on the SLEE.  While the SLEE is in the STOPPING state verify the availabilty of each management interface.  End the activity so the SLEE will reach the STOPPED state.  Verify the availability of each management interface.  Call start() on the SLEE.  While the SLEE is in the STARTING  state verify the availability of each management interface.  The test does not fail if the SLEE reaches the RUNNING state before the checks are complete.  When the SLEE reaches the RUNNING state again verify the availability of each management interface.","Complete"
1480,"14.6.1.2","1","Pfd2","Covered","(many)",,"If a SLEE instantiates and registers a management client MLet with an MBean Server, the SLEE vendor must ensure that the SLEE allows full and total access to its management subsystem via that MBean Server.",,"The TCK plugin, which is an MLet, delegates all management operations to the MBeanServer. This is how all mgmt operations made by tests are performed.",,,,,
1481,"14.6.1.2","2","Pfd2","Out of Scope",,,"When more than one SLEE MBean Server is available at a single point in time, it is the responsibility of the SLEE vendor to maintain a consistent management image across the multiple MBean Servers.",,,,,,,
1482,"14.6.2","1","Pfd2","Context",,,"The SleeManagementMBean interface is as follows:",,,,,,,
1483,"14.6.2","1.1","Pfd2","Assertion",,,"The getState method returns a SleeState object that indicates the current operational state of the SLEE.",,,"SleeStateMachineTest","Slee State: Stopped; Starting; Running; Stopping","Slee State: Stopped; Starting; Running; Stopping","Move the SLEE through each SLEE state (not including shutdown), and check that a valid SleeState object is returned during each state. Note: calls to getState() made after a move into a transitional state may return the transitional state or the target state.","Complete"
1484,"14.6.2","1.1.1.1","Pfd2","Impossible",,,"It throws a javax.slee.management.ManagementException if the current operational state of the SLEE cannot be obtained due to a system-level failure.",,,,,,,
1485,"14.6.2","1.2.1","Pfd2","Repeat","1486,1487",,"The start method can only be called when the SLEE is in the Stopped state, and causes propagation to the Starting state.",,,,,,,
1486,"14.6.2","1.2.1.1.1.1","Pfd3","Assertion",,,"Pre: SleeManagementMBean.getState() == SleeState.STOPPED.",,"The InvalidStateException is tested by assertion 4022","SleeStateMachineTest","Current SLEE state: STOPPED, STARTING, RUNNING, STOPPING","Current SLEE state:  STARTING, RUNNING, STOPPING","Check that start() has no effect on the SLEE state when invoked from the  STARTING, RUNNING and STOPPING states.","Complete"
1487,"14.6.2","1.2.1.1.1.2","Pfd3","Assertion",,,"Post: SleeManagementMBean.getState() ==SleeState.STARTING.",,,"SleeStateMachineTest",,,"Call start() from the Stopped state. Check that the SLEE reaches the Starting state within a timeout.","Complete"
1488,"14.6.2","1.3.1","Pfd2","Repeat","1489,1490",,"The stop method can only be called when the SLEE is in the Running state, and causes propagation to the Stopping state.",,,,,,,
1489,"14.6.2","1.3.1.1.1.1","Pfd3","Assertion",,,"Pre: SleeManangementMBean.getState() == SleeState.RUNNING",,"(1) The InvalidStateException is tested by assertion 4028 (2) Don't test from the STARTING state, as the SLEE could transition at any time to the RUNNING state, which is a valid state to invoke stop() from","SleeStateMachineTest","Current SLEE state: STOPPED, STARTING, RUNNING, STOPPING","Current SLEE state: STOPPED,   STOPPING","Check that stop() has no effect on the SLEE state when invoked from the  STOPPED and STOPPING states.","Complete"
1490,"14.6.2","1.3.1.1.1.2","Pfd3","Assertion",,,"Post: SleeManangementMBean.getState() == SleeState.STOPPING.",,,"SleeStateMachineTest",,,"Call stop() from the Running state. Check that the SLEE reaches the Stopping state within a timeout.","Complete"
1491,"14.6.2","1.4","Pfd2","Repeat",4034,,"The shutdown method can only be called when the SLEE is in the Stopped state...",,,,,,,
1980,"14.6.2","1.4","Pfd2","Out of Scope",,,"The shutdown method ... causes all SLEE processes running under the same server image to shutdown and terminatein a graceful manner.",,,,,,,
1492,"14.6.2","1.4.1.1.1.1","Pfd3","Covered",4034,,"Pre: SleeManagementMBean.getState() == SleeState.STOPPED.",,,,,,,
1493,"14.6.2","1.4.1.1.1.2","Pfd2","Out of Scope",,,"Post: SLEE server processes no longer exist for the respective server image.",,,,,,,
1494,"14.6.2","2","Pfd2","Repeat",1495,,"The start and stop methods should not block.",,,,,,,
